ID_empleado,Nombre,Apellido,Telefono,Edad,Domicilio,ID_Gerente
1111222,Alberto,Barrientos,34766613,26,Federal 233,5942572
9922377,Alexander,Martinez,36554872,28,Camino viejo 123,5942572
3833745,Maria,Zapata,35354455,34,Boulevard 85,5942572
2520477,Egidio,Lopez,33444383,24,Rosas 996,5942572
9611338,Haygnes,Ortiz,35400189,27,General Diaz 343,5942572
4245367,Alexandra,Zapata,33467136,31,Ingenieros 234,5942572
5942572,Jesus,Agudelo,34616222,35,,
2630867,Elena,Atehortua,35581732,37,Sierra del tigre 299,5942572
2310967,Jairo,Mira,36403810,29,Calle 25 interior 2,5942572
6931035,Albeiro,Villa,33631010,39,Carniceros 233,5942572
6332756,Reinaldo,Gonzalez,36642727,43,Vallarta 711,5942572
